	segment	count
300	一年	454
299	主持人	454
301	一段	453
302	东方	452
303	特效	450
304	设计	450
305	录制	450
306	创意	449
307	资源	449
308	爸爸	449
309	镜头	448
310	快乐	446
311	神秘	446
312	一点	444
315	此前	444
313	广告	444
314	观影	444
316	学习	442
317	告诉	440
318	显示	438
319	价值	437
320	能力	435
321	状态	434
322	女儿	433
323	找到	433
324	多年	432
325	父母	432
326	专辑	431
327	终于	429
328	依然	429
329	上演	429
330	开启	427
331	环节	426
332	内心	425
333	优质	423
334	版权	422
335	持续	421
336	父亲	421
337	冠军	421
338	传奇	420
339	评价	419
342	原著	418
341	综艺节目	418
340	讨论	418
343	收视	417
344	女性	417
345	组合	415
346	奥斯卡	413
347	现实	413
348	寻找	413
350	效果	412
349	性格	412
351	大师	410
353	领域	410
352	儿子	410
354	比赛	409
355	金刚	409
356	真人秀	408
357	空间	405
358	这一	404
359	湖南卫视	404
361	可谓	403
360	尝试	403
362	现象	402
363	终极	402
364	升级	401
365	周星驰	400
366	能量	399
367	教育	398
369	主播	397
368	拍戏	397
370	主角	395
371	极限	393
372	展开	393
373	产品	391
374	央视	389
375	当天	389
376	对此	386
377	加盟	384
378	网站	379
379	预告片	379
380	公布	379
381	感动	378
382	意义	378
383	之外	377
384	主创	377
385	自然	376
387	新人	375
386	态度	375
390	银幕	373
388	地方	373
389	监制	373
391	中心	372
392	国产	372
393	台词	371
394	扮演	370
395	一路	370
396	值得	369
397	学生	369
398	来到	367
399	00	367
400	身上	366
401	女主角	365
402	提升	364
405	变化	363
406	相比	363
404	晚会	363
403	娱乐圈	363
407	数字	362
408	肯定	362
409	孤芳	361
410	英雄	361
411	知名	361
412	成员	360
413	很大	360
415	影视剧	359
414	需求	359
416	交流	357
417	好评	357
418	无数	355
419	力量	354
420	收视率	351
421	万元	351
422	喜爱	351
423	跨界	350
424	火星	350
427	压力	349
426	想要	349
425	基础	349
428	结束	347
429	片酬	346
430	剧集	346
431	影迷	344
432	直言	344
433	日前	344
434	迎来	344
436	情人节	343
438	语言	343
435	情节	343
437	意外	343
439	理解	342
440	改变	342
441	提名	342
442	简单	342
443	自我	342
444	艺考	342
445	幸福	342
448	当年	341
446	网易	341
447	热血	341
449	细节	340
450	本次	340
451	伏妖	340
452	腾讯	340
453	配音	338
454	现身	338
455	年代	338
456	大型	337
457	印度	336
458	奖项	335
459	独特	333
460	融合	330
461	爱乐	330
462	增长	330
463	三个	330
465	男女	328
464	体现	328
466	紧张	327
467	只能	327
468	自赏	326
470	照片	326
469	一句	326
471	评委	325
472	追求	324
473	更新	324
474	背景	324
475	出席	324
476	浙江	323
477	携手	322
478	服务	322
479	套路	322
480	长生	321
481	环境	321
483	日本	320
485	黄磊	320
484	表情	320
482	登陆	320
486	担当	319
487	节目组	318
488	事件	318
489	舞蹈	318
490	吐槽	318
491	影响力	317
493	可爱	316
492	收入	316
494	程度	315
495	还原	315
496	回忆	314
497	全网	314
498	印象	314
499	核心	314
500	古装	313
502	档期	312
503	美食	312
501	搞笑	312
505	以往	311
506	热门	311
507	无论是	311
504	再度	311
508	纪录	310
511	一系列	309
512	成都	309
510	这位	309
509	更好	309
513	京报	308
514	公益	308
515	标准	308
516	回应	308
517	幕后	308
518	是因为	307
519	手机	306
520	各大	306
522	昨日	305
521	官方	305
524	阵容	304
525	调侃	304
526	流量	304
523	奇幻	304
527	华语	303
528	信息	302
529	开心	301
532	大众	300
533	入围	300
531	第一季	300
530	质量	300
534	评分	299
535	一名	299
536	吴亦凡	299
537	瑜伽	299
538	宣发	297
539	认可	297
540	唯一	296
542	搭档	295
541	阿里	295
543	有趣	294
544	导师	293
546	刚刚	293
547	强大	293
545	增加	293
548	提出	290
549	遭遇	289
550	本届	289
551	工作人员	289
552	十年	288
553	豆瓣	287
554	诠释	287
555	纪录片	287
559	资本	286
560	新闻	286
561	成立	286
558	魅力	286
557	一首	286
556	社交	286
566	全场	283
568	这场	283
567	确实	283
562	沈阳	283
565	学院	283
564	何炅	283
563	独立	283
569	不到	281
570	成本	281
571	热情	280
572	电视台	280
573	穿越	280
574	之旅	279
575	频道	279
576	气质	279
577	分钟	279
578	悬疑	278
579	颜值	278
581	联手	277
580	奇葩	277
582	激烈	276
584	见面	276
585	经验	276
586	事业	276
583	大奖	276
587	二人	275
588	盛典	275
589	享受	275
590	感谢	275
594	天竺	274
596	乘风破浪	274
595	小品	274
592	片方	274
593	创造	274
591	道具	274
597	备受	273
598	战略	273
602	乐队	272
604	赢得	272
603	节奏	272
600	大剧	272
601	会员	272
599	网红	272
605	相声	271
606	心理	270
607	放映	270
608	大闹	269
609	品质	269
610	类节目	268
611	专家	268
612	投入	267
613	冒险	267
614	男主角	265
615	优势	265
616	阶段	265
621	整体	264
622	提前	264
620	杨幂	264
619	塑造	264
618	身边	264
617	娉婷	264
623	疯狂	263
625	受众	263
626	儿童	263
624	群体	263
627	母亲	262
628	王宝强	262
629	音乐会	262
630	温暖	260
631	面临	260
632	总裁	260
633	多个	260
634	最新	260
638	心中	259
640	台湾	259
639	视觉	259
637	校园	259
636	单元	259
635	商业	259
643	幽默	258
641	一条	258
642	女人	258
644	主持	257
645	欢乐颂	257
646	弹幕	257
647	自制	257
649	同名	256
650	王子	256
651	传递	256
652	戛纳	256
648	网上	256
653	打破	255
654	本期	255
655	几个	254
660	特色	253
662	指出	253
661	邓超	253
658	玩法	253
659	YY	253
656	日晚	253
657	深圳	253
663	业内	252
664	卧底	252
665	多部	252
666	成熟	251
667	争议	250
668	考生	250
669	一张	250
670	两部	250
671	三位	250
672	没想到	250
676	推动	249
679	励志	249
677	消费	249
678	祝福	249
675	赵又廷	249
673	鼓励	249
674	全程	249
680	数量	248
681	陪伴	248
682	韩国	248
683	设置	247
685	场面	246
686	演戏	246
684	一家	246
687	情怀	245
688	浪漫	245
689	分析	245
690	楚北捷	244
691	阅读	244
692	唱歌	243
693	男人	243
694	角度	243
695	北美	243
697	深刻	242
696	企业	242
698	美好	241
699	导致	241
700	深度	241
701	熟悉	241
702	3D	240
703	今晚	240
706	网综	239
707	替身	239
705	两年	239
704	个性	239
708	主题曲	237
709	西游记	237
710	一同	236
711	值得一提的是	236
712	大年初一	236
713	MV	236
714	生命	236
719	鹿晗	235
721	竞争	235
720	流行	235
716	探索	235
718	不错	235
717	开发	235
715	带领	235
722	轻松	234
723	看点	234
724	公主	234
725	世纪	233
726	概念	233
727	管理	232
728	家人	232
729	天下	232
730	回到	232
731	符合	232
732	韩寒	231
733	依旧	231
736	旗下	230
735	京剧	230
734	首部	230
737	获悉	229
738	公开	229
739	大陆	229
740	亚洲	229
747	激情	228
746	妻子	228
745	读者	228
744	歌声	228
743	登上	228
742	健康	228
741	化身	228
748	女孩	227
749	女生	227
750	徐克	227
751	海外	227
752	文艺	227
754	恋爱	226
753	推广	226
756	搭配	225
757	一大	225
758	服装	225
755	融入	225
761	黄子	224
762	戏份	224
763	进一步	224
760	堪称	224
759	面前	224
764	连续	223
765	做出	223
766	反腐	223
767	大学生	223
768	年龄	223
769	速度	223
770	科技	223
771	名字	223
772	职场	223
775	第一部	222
776	万美元	222
774	情绪	222
773	周末	222
780	央视春晚	221
781	配合	221
777	长城	221
779	哥哥	221
778	歌迷	221
782	那种	220
783	预告	220
784	万达	220
785	设定	220
787	之中	219
788	始终	219
786	剧场	219
789	启动	218
790	小S	218
791	回家	218
792	众人	218
793	首播	217
794	质疑	217
795	永远	217
797	训练	216
796	微信	216
798	情报局	215
800	瞬间	215
799	氛围	215
805	变得	214
808	水军	214
806	走向	214
807	江苏	214
804	一档	214
803	一众	214
802	范冰冰	214
801	考验	214
809	民族	213
810	称为	213
811	理念	213
812	生态	213
816	乐视	212
818	延续	212
817	好友	212
814	显得	212
815	新年	212
813	渠道	212
819	报道	211
821	保护	211
820	助阵	211
822	职业	210
823	学校	210
830	提到	209
834	调查	209
833	谈到	209
832	作家	209
831	几位	209
827	完整	209
829	领衔主演	209
828	人群	209
825	阳光	209
824	影视作品	209
826	业内人士	209
837	首歌	208
835	利用	208
836	高达	208
838	夫妇	207
839	法国	207
840	大会	207
841	家族	207
842	奔跑	207
843	运动	207
844	适合	206
845	在线	206
846	热度	206
847	热巴	206
848	大张伟	206
849	留下	206
853	帅气	205
854	改编自	205
852	正剧	205
850	几年	205
851	习惯	205
856	无疑	204
855	说话	204
857	旅游	203
858	当晚	203
859	安排	202
860	排片	202
861	科幻	202
862	独播	202
863	荧屏	202
864	收官	202
865	热议	202
866	气氛	202
870	不好	201
871	眼神	201
869	最强	201
868	负责	201
867	CP	201
872	男神	200
873	却是	199
874	本报记者	199
875	姐姐	199
876	指导	199
877	想法	199
878	公映	199
879	策划	199
880	一度	199
885	戏剧	197
888	蔡国庆	197
887	都市	197
886	高度	197
889	放弃	197
884	主席	197
881	方向	197
883	爆笑	197
882	大战	197
895	人类	196
899	昨天	196
898	原本	196
890	精品	196
897	电影院	196
894	每次	196
893	后期	196
892	运营	196
891	打动	196
896	新片	196
900	毕业	195
907	解释	194
911	保证	194
910	回答	194
909	建立	194
908	赵丽颖	194
905	迪塞尔	194
906	命运	194
904	发挥	194
903	公众	194
902	广州日报	194
901	射雕	194
919	工作室	193
918	培养	193
917	人才	193
916	自信	193
915	美女	193
914	同台	193
913	目的	193
912	影评人	193
920	身体	192
921	一件	192
922	想象	192
932	拿下	191
931	离开	191
929	带给	191
933	参演	191
934	翻译	191
930	文章	191
927	亮点	191
928	采用	191
926	女演员	191
925	担心	191
924	岳云鹏	191
923	英国	191
937	观众们	190
938	甄子丹	190
939	教授	190
936	推荐	190
935	观点	190
940	全民	189
941	定制	189
942	偶像剧	189
943	蔡康永	189
944	董卿	189
948	当红	188
950	谈及	188
949	仪式	188
947	目标	188
946	长大	188
945	敬业	188
951	版本	187
952	经济	187
953	登场	187
954	热爱	187
955	引进	186
956	传承	186
957	风云	186
958	感到	186
959	火爆	186
960	礼物	186
967	本周	185
970	之上	185
969	摇滚	185
968	冯小刚	185
966	2013	185
961	开机	185
963	还会	185
962	分会场	185
965	胡歌	185
964	老板	185
971	一组	184
972	话剧	184
973	作用	184
974	时刻	184
976	红包	183
977	思考	183
978	好看	183
979	最具	183
980	定位	183
975	老戏骨	183
985	一线	182
988	深情	182
987	盛宴	182
986	黎明	182
984	一身	182
983	书记	182
981	拿到	182
982	吴刚	182
989	张曦	181
990	爆款	181
991	创始人	180
992	甜蜜	180
993	片子	180
994	尊重	180
995	艺术家	180
996	水准	180
997	看过	180
1004	主动	179
1002	事实上	179
1006	之下	179
1003	诞生	179
1005	系统	179
1001	赵雷	179
998	首度	179
999	男声	179
1000	榜单	179
1012	广州	178
1016	组织	178
1015	长安	178
1014	筹备	178
1013	美丽	178
1011	也许	178
1010	机构	178
1009	南京	178
1008	精准	178
1007	算是	178
1020	沟通	177
1022	潘金莲	177
1021	建议	177
1023	宝宝	177
1019	强势	177
1017	累计	177
1018	集体	177
1028	趋势	176
1031	大唐	176
1030	研究	176
1029	报名	176
1032	不想	176
1027	结婚	176
1026	主流	176
1025	致敬	176
1024	丈夫	176
1033	理想	175
1034	剪辑	175
1035	贡献	175
1036	统计	175
1037	同步	174
1038	相处	174
1039	感慨	174
1045	实际上	173
1043	晚上	173
1044	爆料	173
1041	男孩	173
1042	将会	173
1040	价值观	173
1046	开年	172
1047	论坛	172
1048	听到	172
1049	杨洁	172
1050	重点	172
1051	歌词	172
1053	家长	171
1054	关键	171
1055	时光	171
1056	惊艳	171
1057	动画电影	171
1052	大学	171
1061	鸡年	170
1064	医生	170
1063	荣耀	170
1062	走进	170
1060	证明	170
1058	APP	170
1059	陆续	170
1065	第一个	169
1066	徐静蕾	169
1067	新鲜	169
1068	早已	169
1073	百度	168
1075	布局	168
1074	跨年	168
1071	景甜	168
1072	林志玲	168
1070	提高	168
1069	医疗	168
1080	诸多	167
1084	动漫	167
1083	彩蛋	167
1081	点击	167
1082	解读	167
1079	不用	167
1078	之作	167
1077	打开	167
1076	难以	167
1085	执行	166
1086	负责人	166
1087	制造	166
1088	花絮	166
1094	规模	165
1097	高手	165
1096	责任	165
1095	影城	165
1092	震撼	165
1093	崛起	165
1091	同学	165
1090	围绕	165
1089	江湖	165
1103	文娱	164
1107	吃饭	164
1106	排名	164
1105	杭州	164
1104	霸气	164
1098	此番	164
1102	玩家	164
1101	爆发	164
1100	择天记	164
1099	眼睛	164
1108	综合	163
1109	心态	163
1110	国外	163
1111	一份	163
1116	袁姗姗	162
1120	给予	162
1118	大部分	162
1117	逆袭	162
1119	CEO	162
1115	实力派	162
1112	音乐节	162
1113	电影票房	162
1114	到来	162
1126	片场	161
1129	气息	161
1128	大胆	161
1127	一把	161
1125	本片	161
1124	地区	161
1123	共鸣	161
1122	大赛	161
1121	付费	161
1135	总监	160
1139	锁定	160
1138	水平	160
1136	人士	160
1137	名单	160
1134	刺激	160
1132	开场	160
1131	迪丽	160
1130	走红	160
1133	李宇春	160
1143	时期	159
1145	用心	159
1144	知识	159
1146	视角	159
1142	挖掘	159
1141	动画片	159
1140	男友	159
1147	规则	158
1148	颁奖	158
1149	我国	158
1150	近期	158
1151	最初	158
1152	家里	158
1153	段子	158
1159	获奖	157
1161	转型	157
1160	过年	157
1158	线下	157
1154	春娇	157
1155	实在	157
1157	样子	157
1156	陷入	157
1162	硬汉	156
1163	促进法	156
1164	遗憾	156
1165	学员	156
1166	排行榜	156
1167	像是	156
1168	好好	156
1169	平时	156
1170	当代	156
1171	记录	156
1181	体系	155
1180	极具	155
1179	功能	155
1178	三年	155
1177	标题	155
1176	亿美元	155
1174	失望	155
1173	解决	155
1172	颁奖典礼	155
1175	难度	155
1182	联动	154
1183	歌舞	154
1184	付出	154
1185	国产片	154
1186	非凡	154
1187	照顾	154
1188	帝国	154
1189	线索	154
1190	反派	154
1194	日常	153
1197	接触	153
1196	点赞	153
1193	演艺	153
1191	助力	153
1195	郑秀文	153
1192	答案	153
1204	称赞	152
1209	出场	152
1208	本报讯	152
1207	秘密	152
1206	一角	152
1205	危机	152
1203	总导演	152
1202	伴随	152
1201	占据	152
1200	夜华	152
1199	芒果	152
1198	海选	152
1214	人设	151
1218	北京电影学院	151
1217	开拍	151
1216	新生代	151
1215	片段	151
1213	归来	151
1211	大戏	151
1210	处于	151
1212	资深	151
1219	漂亮	150
1220	缺乏	150
1221	霸道	150
1222	四个	150
1223	购买	150
1228	前世	149
1231	掀起	149
1230	本来	149
1229	投票	149
1224	清新	149
1227	泰国	149
1226	LIVE	149
1225	何侠	149
1243	彩排	148
1245	我会	148
1244	爱情故事	148
1241	批评	148
1247	情侣	148
1248	旅行	148
1249	尴尬	148
1242	揭晓	148
1246	摄影	148
1240	侵权	148
1238	人民币	148
1237	文学	148
1236	联盟	148
1232	手段	148
1235	感叹	148
1234	创业	148
1233	技能	148
1239	王俊凯	148
1254	200	147
1257	小花	147
1256	一号	147
1255	色彩	147
1251	微博上	147
1253	很难	147
1252	方法	147
1250	进口	147
1263	动物	146
1267	骷髅	146
1266	张艺兴	146
1265	欣赏	146
1264	勇敢	146
1262	夫妻	146
1261	困难	146
1260	顶级	146
1259	幸运	146
1258	收到	146
1268	平均	145
1269	无奈	145
1270	涉及	145
1271	展映	145
1272	留言	145
1273	接近	145
1278	给出	144
1280	美人鱼	144
1279	关心	144
1275	探讨	144
1277	悬念	144
1276	人性	144
1274	至少	144
1287	作者	143
1292	点播	143
1291	业务	143
1290	乐坛	143
1289	身为	143
1288	亲情	143
1281	注重	143
1286	花式	143
1284	主人公	143
1283	最为	143
1282	签约	143
1285	想到	143
1298	真相	142
1302	王凯	142
1301	冬雨	142
1300	第三季	142
1299	一股	142
1297	辛苦	142
1296	一向	142
1295	一生	142
1294	四川	142
1293	小朋友	142
1306	看似	141
1308	向往	141
1307	张艺谋	141
1304	多元化	141
1305	意味着	141
1303	定档	141
1309	点评	140
1310	300	140
1311	看着	140
1312	续集	140
1313	地位	140
1314	每周	140
1315	警察	140
1316	拒绝	140
1321	医院	139
1325	法律	139
1324	开放	139
1323	见证	139
1322	周五	139
1317	国产电影	139
1319	视听	139
1318	重磅	139
1320	审美	139
1334	蘑菇	138
1342	到场	138
1341	福利	138
1339	The	138
1337	积累	138
1336	味道	138
1335	叙事	138
1340	慢慢	138
1333	一对	138
1328	单曲	138
1332	洛杉矶	138
1326	新春	138
1327	柏林	138
1338	扮演者	138
1329	顺利	138
1330	战队	138
1331	植入	138
1343	默契	137
1345	羊城晚报	137
1346	股份	137
1347	超越	137
1348	创下	137
1349	好像	137
1350	登台	137
1351	友情	137
1352	彭于	137
1344	董子	137
1360	男生	136
1362	PK	136
1363	得知	136
1358	接地	136
1359	再现	136
1361	高潮	136
1357	竞赛	136
1353	一季	136
1355	并未	136
1354	老公	136
1356	产业链	136
1375	坐在	135
1386	2000	135
1385	精心	135
1384	斩获	135
1383	广东	135
1382	发表	135
1381	遇见	135
1380	引来	135
1378	无限	135
1377	四位	135
1376	距离	135
1379	追捧	135
1374	反转	135
1373	抄袭	135
1372	引得	135
1371	金曲	135
1370	脑洞	135
1369	记得	135
1368	犯罪	135
1367	很快	135
1366	队长	135
1365	二次元	135
1364	满意	135
1389	之际	134
1388	广电总局	134
1387	做好	134
1390	刘德华	133
1391	所有人	133
1392	尽显	133
1393	集结	133
1394	刘宪华	133
1395	李路	133
1396	属性	133
1397	三部	133
1406	经营	132
1405	快速	132
1403	小姐	132
1407	类似	132
1404	既有	132
1400	才艺	132
1402	创作者	132
1399	英雄传	132
1401	动作片	132
1398	整合	132
1413	形容	131
1417	有时候	131
1416	调整	131
1415	激动	131
1414	时空	131
1408	巨星	131
1412	新闻出版	131
1410	决战	131
1409	大哥	131
1411	反差	131
1428	迪士尼	130
1438	人员	130
1437	案件	130
1436	婚姻	130
1435	自由	130
1434	过瘾	130
1433	谢霆锋	130
1432	聚焦	130
1431	孙悟空	130
1430	一代	130
1429	昨晚	130
1427	一套	130
1425	天才	130
1424	男性	130
1423	结局	130
1422	碰撞	130
1421	生产	130
1420	当日	130
1419	在内	130
1418	意识	130
1426	合适	130
1445	红毯	129
1450	月份	129
1449	大秦	129
1448	单日	129
1447	极致	129
1446	2012	129
1444	生日	129
1443	相爱	129
1441	古装剧	129
1440	消费者	129
1439	三人	129
1442	年前	129
1457	迪玛希	128
1461	前往	128
1460	评选	128
1459	等待	128
1458	好奇	128
1456	考试	128
1455	王菲	128
1454	直呼	128
1453	首映	128
1452	东北	128
1451	业界	128
1467	一部分	127
1470	追剧	127
1469	揭开	127
1468	培训	127
1464	赵薇	127
1466	主任	127
1465	文字	127
1463	华人	127
1462	受访者	127
1493	经纪人	126
1492	一群	126
1491	巧妙	126
1490	善良	126
1489	不乏	126
1488	杀青	126
1487	王牌	126
1486	送上	126
1485	兴趣	126
1484	身穿	126
1483	歌王	126
1481	预计	126
1482	摔跤	126
1475	天津	126
1480	呈现出	126
1472	姑娘	126
1473	歌唱	126
1474	黄金	126
1471	黄轩	126
1476	阿米尔	126
1477	发出	126
1478	金牌	126
1479	种种	126
1503	一期	125
1512	颠覆	125
1511	曲目	125
1510	鲜明	125
1509	郭德纲	125
1508	战争	125
1507	巡演	125
1505	围炉	125
1504	一步	125
1506	文化传媒	125
1502	日起	125
1501	推理	125
1494	人心	125
1500	陈伟霆	125
1499	健身	125
1498	心情	125
1497	不同于	125
1496	明王朝	125
1495	段奕宏	125
1518	周六	124
1517	仿佛	124
1516	授权	124
1515	路上	124
1514	一个月	124
1513	出发	124
1538	史上	123
1537	首席	123
1529	华丽	123
1536	成就	123
1535	放在	123
1534	包袱	123
1533	提示	123
1532	青少年	123
1531	身材	123
1530	出身	123
1521	时隔	123
1528	人数	123
1526	黄渤	123
1525	女星	123
1524	标签	123
1523	胜利	123
1522	发起	123
1520	道路	123
1519	矛盾	123
1527	大呼	123
1546	严肃	122
1551	爆棚	122
1550	收购	122
1549	有望	122
1548	达康	122
1547	全世界	122
1544	案例	122
1545	婚礼	122
1543	危险	122
1542	总决赛	122
1541	利益	122
1540	画风	122
1539	吴镇宇	122
1559	走出	121
1565	层面	121
1564	对话	121
1563	周杰伦	121
1562	包含	121
1561	这首	121
1560	多位	121
1558	无间道	121
1557	最佳影片	121
1556	唐僧	121
1555	剧照	121
1554	特意	121
1553	全方位	121
1552	纷纷表示	121
1576	信任	120
1584	旋律	120
1583	闪爸	120
1582	合拍	120
1581	处女作	120
1580	满满	120
1579	忍不住	120
1578	侠盗	120
1577	两大	120
1575	黄晓明	120
1574	跟着	120
1573	胡兵	120
1572	戏曲	120
1571	指数	120
1570	电商	120
1569	诚意	120
1568	把握	120
1567	热烈	120
1566	几天	120
1591	朋友圈	119
1596	失败	119
1594	多元	119
1593	出色	119
1592	主办方	119
1595	张杰	119
1590	火热	119
1588	妹妹	119
1587	爱心	119
1585	我要	119
1586	今年春节	119
1589	协会	119
1602	达成	118
1607	不俗	118
1606	外界	118
1605	自带	118
1604	对手	118
1603	董事长	118
1601	生动	118
1600	催眠	118
1599	儿歌	118
1598	主打	118
1597	周梅森	118
1616	因素	117
1623	晋级	117
1622	信心	117
1621	晚报	117
1620	酒店	117
1619	温柔	117
1618	戏里	117
1617	高能	117
1611	机器人	117
1615	屏幕	117
1614	逻辑	117
1613	呼吁	117
1612	圈粉	117
1610	亲密	117
1609	生存	117
1608	新版	117
1631	担纲	116
1639	中文	116
1638	张大	116
1637	选秀	116
1635	总经理	116
1634	比例	116
1632	巨制	116
1636	擅长	116
1630	拯救	116
1627	相亲	116
1624	手法	116
1625	守护	116
1626	具备	116
1633	献上	116
1629	超高	116
1628	500	116
1645	往事	115
1650	北影	115
1648	一集	115
1647	眼球	115
1649	新锐	115
1644	思维	115
1643	看法	115
1642	薛之谦	115
1641	低调	115
1640	1566	115
1646	制片	115
1667	渴望	114
1664	颁奖礼	114
1665	是从	114
1666	穿着	114
1669	温情	114
1668	天天	114
1670	足够	114
1671	参赛	114
1662	相互	114
1663	云巅	114
1658	栏目	114
1661	唱片	114
1660	活力	114
1659	承认	114
1657	喜剧片	114
1656	艾玛	114
1655	围观	114
1654	晋王	114
1653	头部	114
1652	赋予	114
1651	柳岩	114
1679	明白	113
1684	三大	113
1683	TV	113
1682	黑色	113
1681	女主	113
1680	焦点	113
1672	这份	113
1678	陌陌	113
1676	控制	113
1675	灵魂	113
1674	学会	113
1673	良心	113
1677	多种	113
1695	简称	112
1703	领导	112
1702	首档	112
1701	票补	112
1700	受欢迎	112
1699	少儿	112
1698	苏州	112
1697	侦探	112
1696	李小璐	112
1693	办法	112
1694	台上	112
1692	首日	112
1691	体育	112
1690	钟汉良	112
1689	出租房	112
1688	问及	112
1687	主办	112
1686	贾乃亮	112
1685	惊悚	112
1719	璀璨	111
1717	衣服	111
1716	十大	111
1718	朗读	111
1720	观察	111
1721	一出	111
1713	兴奋	111
1714	SNH48	111
1715	表白	111
1712	八月	111
1704	不禁	111
1710	潮流	111
1709	剧院	111
1708	年初	111
1707	智慧	111
1706	探案	111
1705	合唱	111
1711	致力于	111
1727	搜索	110
1731	出道	110
1730	热潮	110
1729	高级	110
1728	新作	110
1725	搭建	110
1726	见到	110
1724	同比	110
1723	引领	110
1722	歌唱家	110
1738	营造	109
1743	星光	109
1742	火花	109
1741	中外	109
1740	分为	109
